country,latitude,longitude,confirmed,deceased,recovered,serious
United States,37.0902400,-95.7128910,435128,14795,26544,6760
Spain,40.4636670,-3.7492200,148220,14792,48021,7132
Italy,41.8719400,12.5673800,139715,17722,26491,3693
Germany,51.1656910,10.4515260,114040,2349,56500,2646
France,46.2276380,2.2137490,112950,10869,21254,7148
China,35.8616600,104.1953970,83887,3335,77780,176
Iran,32.4279080,53.6880460,64586,3993,29812,3956
United Kingdom,55.3780510,-3.4359730,60733,7097,1918,0
Turkey,38.9637450,35.2433220,38226,812,1846,1492
Belgium,50.5038870,4.4699360,23403,2240,4275,1276
Switzerland,46.8181880,8.2275120,23282,895,9800,0
Netherlands,52.1326330,5.2912660,20549,2248,3459,1161
Canada,56.1303660,-106.3467710,19438,435,4652,333
Brazil,-14.2350040,-51.9252800,16195,822,127,0
Portugal,39.3998720,-8.2244540,13141,380,196,245
Austria,47.5162310,14.5500720,12969,273,4512,267
South Korea,35.9077570,127.7669220,10423,204,6973,0
Israel,31.0460510,34.8516120,9404,73,801,147
Russia,61.5240100,105.3187560,8672,63,580,0
Sweden,60.1281610,18.6435010,8419,687,16,678
Australia,-25.2743980,133.7751360,6104,51,1450,79
Norway,60.4720240,8.4689460,6084,101,13,78
Ireland,53.1423672,-7.6920536,6074,235,5,25
India,20.5936840,78.9628800,5979,183,568,0
Denmark,56.2639200,9.5017850,5586,218,3,153
Chile,-35.6751470,-71.5429690,5546,48,1115,142
Czechia,49.8174920,15.4729620,5312,99,233,103
Poland,51.9194380,19.1451360,5205,159,207,0
Japan,36.2048240,138.2529240,4961,105,514,60
Romania,45.9431610,24.9667600,4761,227,528,119
Ecuador,-1.8312390,-78.1834060,4450,242,140,0
Peru,-9.1899670,-75.0151520,4342,122,989,113
Pakistan,30.3753210,69.3451160,4263,61,467,28
Malaysia,4.2104840,101.9757660,4119,65,1321,76
Philippines,12.8797210,121.7740170,3870,182,96,0
Mexico,23.6345010,-102.5527840,3181,174,1141,0
Luxembourg,49.8152730,6.1295830,3034,46,354,34
Indonesia,-0.7892750,113.9213270,2956,240,222,0
Saudi Arabia,23.8859420,45.0791620,2932,41,631,0
Serbia,44.0165210,21.0058590,2666,65,0,108
United Arab Emirates,23.4240760,53.8478180,2659,12,283,0
Panama,8.5379810,-80.7821270,2528,63,16,101
Finland,61.9241100,25.7481511,2487,40,10,82
Thailand,15.8700320,100.9925410,2423,32,940,0
Qatar,25.3548260,51.1838840,2210,6,178,0
